,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-01 - 001 - 120 bpm - rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-02 - 002 - 121 bpm - crash-y tom-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-03 - 003 - 101 bpm - slow spacey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-05 - 005 - 124 bpm - funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-06 - 006 - 99 bpm - hard rock punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-07 - 007 - 120 bpm - rock funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-08 - 008 - 135 bpm - steady marching.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-09 - 009 - 102 bpm - funk-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-10 - 010 - 141 bpm - breakbeat.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-11 - 011 - 109 bpm - tom-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-13 - 013 - 120 bpm - funk disco.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-14 - 014 - 141 bpm - groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-15 - 015 - 170 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-16 - 016 - 150 bpm - breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-17 - 017 - 114 bpm - steady groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-18 - 018 - 145 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-19 - 019 - 120 bpm - groovey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-20 - 020 - 87 bpm - crashy slow groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-21 - 021 - 160 bpm - hard rock breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-22 - 022 - 170 bpm - breaks dnb.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-23 - 023 - 85 bpm - slow rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-24 - 024 - 180 bpm - metal punk rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-25 - 025 - 120 bpm - slow rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-26 - 026 - 85 bpm - rock breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-27 - 027 - 90 bpm - breaky.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-28 - 028 - 118 bpm - groove-y funky.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-29 - 029 - 170 bpm - metal punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-30 - 030 - 110 bpm - rock hard-disco.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-31 - 031 - 71 bpm - break-y funk-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-01 - 032 - 135 bpm - metal blast.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-02 - 033 - 85 bpm - marching steady.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-03 - 034 - 111 bpm - chilled.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-04 - 035 - 105 bpm - funk-ish groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-05 - 036 - 89 bpm - rolling.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-06 - 037 - 111 bpm - driving rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-07 - 038 - 121 bpm - rock metal punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-08 - 039 - 160 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-09 - 040 - 131 bpm - funk-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-10 - 041 - 166 bpm - metal hard rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-11 - 042 - 119 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-12 - 043 - 132 bpm - funk-y rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-13 - 044 - 120 bpm - metal.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-14 - 045 - 116 bpm - jazz-y fill-y.wav
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-01 - 001 - 120 bpm - rock-ish.wav,0.0,0.0003730952724688513,1.7213985359799007e-05,0.00038375799289287835,4.264589301057216e-06,3.4215104934929795e-05,0.00019131752586556367,0.0003509541840547572,8.587823089980537e-08,0.0003901778445288983,0.0004856803490205248,8.478452137440529e-06,5.4642938348763914e-05,0.0009089397743199245,1.6005776854151764e-05,0.00031555587949868457,2.638419070907874e-06,3.4547905697801812e-06,3.22891653856967e-05,0.00034697651450809957,0.0004126485365615727,1.901350791452858e-06,3.9739253299794725e-06,0.0007000082929498963,1.3693059282044118e-05,6.475972310791165e-07,3.327958529364181e-05,0.0005460754967313875,5.474664318024405e-07,2.09670510281213e-05,1.787100292473818e-05,7.890447740554285e-05,2.7115405553634163e-05,0.0010254338342847178,2.2170235967217607e-06,2.2546674711644142e-06,1.3084757311506188e-06,7.758330775317624e-06,2.2729861411511938e-07,0.002058444062448856,3.3382915052282416e-07,2.096939139998747e-06,1.748213610822905e-05,0.0003992318179927429,5.101590327047245e-05
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-02 - 002 - 121 bpm - crash-y tom-y.wav,0.0003730952724688513,0.0,0.0020848859006963607,0.0009072641556699842,3.0489925560159503e-05,7.396235437280927e-06,0.00011321328518264936,0.0002444463840956576,5.6269193066746366e-05,0.0003929537836386124,2.292514387043166e-05,1.1547012875372612e-05,0.00011561904005481761,8.07935241321457e-06,0.0006765194514316414,6.713513712178969e-07,5.877413363134253e-05,3.360254336910254e-05,0.0011325272105927313,0.00064165225522634,7.145460889273579e-05,2.0219048555617573e-05,4.891275167427875e-06,4.455312038178021e-05,6.400122369693677e-06,2.2407789036854806e-05,0.0007086500582362239,4.503025113546224e-06,6.857040271765241e-05,8.02956017163104e-06,8.350355160401265e-06,0.00016787919565762455,4.7743205279140664e-05,0.0007543724297327671,0.00048106407666405993,2.4856010393540782e-05,3.6291948140075068e-06,1.4617236218610962e-05,2.6071981429673843e-05,1.333401581813248e-05,8.350815922283415e-08,5.391519489272147e-05,2.197560635859143e-05,2.9112613474242006e-05,0.0008761155826802726
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-03 - 003 - 101 bpm - slow spacey.wav,1.7213985359799007e-05,0.0020848859006963607,0.0,2.973618271356304e-05,0.00012159227619260027,2.782131891298623e-06,0.0004615585833668225,0.0001665922900967398,0.00017563991986577337,0.00012384784436357237,6.061564616590143e-05,9.874608871015984e-06,3.0111588505126708e-05,5.250738667577416e-06,0.00011822978892275248,5.3296954927996275e-05,1.0434813043889398e-05,8.956379623817783e-05,9.056552934550798e-06,0.0003155123328155617,6.593641202221825e-05,0.0002939487825400493,3.749287220184459e-05,4.2124621824187924e-05,0.00024361019492498548,2.7065900271063484e-05,7.7418010734553e-06,3.772640092800132e-05,6.945143844414446e-05,7.411832727686343e-06,3.656365241730779e-05,0.00014702781785472938,3.917152549431227e-06,6.774506158148952e-06,1.284101939486494e-07,0.00012796866180864546,4.463903633901268e-06,2.5181283456661248e-05,7.379083259083773e-05,1.1491377560177717e-05,0.00011040697772301598,5.240067678666809e-05,0.00015181240933763074,0.00014981028790001012,0.00019773041544448417
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav,0.00038375799289287835,0.0009072641556699842,2.973618271356304e-05,0.0,5.519662569763475e-11,6.673782000447646e-06,0.000232462280632422,1.5056669897869135e-05,3.8702893553595854e-06,0.000361040207482747,0.0003890557636986674,0.000123225402654727,0.00010555510632116405,7.162813848073456e-07,3.4083711151304077e-06,1.2561440000325616e-05,1.205338682302297e-07,6.603548500918785e-08,0.0005146019808823846,0.000407609553043659,0.00045593057646660064,8.276475687742192e-07,2.78171670104558e-10,9.84691492818825e-07,2.6481667576836665e-06,0.0003642818968418951,9.640751036085018e-09,0.0001044185444721134,8.226109537911975e-06,1.3318013475660656e-07,5.218517959131887e-06,5.134137400765803e-05,9.015309851196531e-05,5.994268451365296e-06,1.1800991851482176e-05,0.0009566538016527723,0.0001630242714044397,2.5199237996621766e-05,7.82675180655486e-05,1.2708120391983291e-05,0.0006174879606779575,1.2428881081492861e-08,4.277600505268051e-08,4.882667427685446e-05,0.000770943358952348
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-05 - 005 - 124 bpm - funk groove.wav,4.264589301057216e-06,3.0489925560159503e-05,0.00012159227619260027,5.519662569763475e-11,0.0,6.841740463846952e-06,0.00017429193290339633,1.5028491552794556e-05,6.911327417451802e-05,0.00036055311024747744,2.097965902149977e-06,0.00012097419089775589,2.4510387805681073e-05,0.0003161797536509137,3.5462068124259574e-06,1.1906456892557753e-05,1.305379448507917e-07,6.959552407413568e-08,0.0021367138328844825,0.0004206973225012545,6.8524234714286e-07,8.85553844559341e-07,5.575024005379865e-10,1.0152261713774078e-06,2.6820066925814267e-06,0.002809355415950581,2.110603436244568e-06,7.350321126345035e-07,8.545120500773244e-06,0.00013378275439608053,4.997760070394964e-06,0.00013775146247222545,8.679941867458263e-05,0.0009319540344238017,0.00038023316050208943,8.292142389578318e-06,9.684148746437534e-07,4.613714764187483e-06,7.0033982423832866e-06,3.809421820436155e-06,6.6918378206169614e-06,0.00017208343437408348,4.2181831307943436e-08,7.903399869930777e-06,0.001364089289909452
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-06 - 006 - 99 bpm - hard rock punk.wav,3.4215104934929795e-05,7.396235437280927e-06,2.782131891298623e-06,6.673782000447646e-06,6.841740463846952e-06,0.0,9.306703755047837e-05,1.8422135206075742e-06,0.000955435624176449,0.00038159835583602436,1.7554116103843633e-05,2.59365131019599e-07,0.0012954885188733748,0.0014677506407379272,0.00039819511063178146,3.811766031948916e-06,8.524404203623014e-06,5.5809961100200544e-05,7.48117385318763e-05,0.0005333767710832094,0.00139792095245324,0.00033588562479659804,0.0005881557046633005,1.5322030047259206e-06,9.416942839198887e-08,0.00017024127447228955,0.0008324207950743627,1.228195409339391e-05,2.9832854264457934e-05,5.839566748912751e-10,0.00037021461231512753,0.00012770297673171026,0.00014592453388157206,7.054569307261293e-09,3.8556791482295565e-05,0.0009246827755855177,1.1146783316010342e-05,0.00030861652224542936,0.0003638589871751913,5.725652478075899e-07,0.0009824552994196882,2.1028491081047818e-05,2.362274125302941e-06,0.00012073884024098736,0.0003565950166369859
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-07 - 007 - 120 bpm - rock funk groove.wav,0.00019131752586556367,0.00011321328518264936,0.0004615585833668225,0.000232462280632422,0.00017429193290339633,9.306703755047837e-05,0.0,8.011177493139918e-05,0.0016784076410904585,4.0090089964452735e-05,0.00047128568755172427,0.0006880723369225875,0.00018627690502916958,7.20906588669675e-05,7.831762268949447e-06,0.0001324136361078048,0.00019920086393271618,0.0001083142655480075,0.0006621824282286867,3.927123834033752e-05,0.00044063087846324286,3.788380875209032e-05,0.0010434058510276692,0.00011216684227755984,0.0022524154194534045,0.0013398381448962745,0.00026248763613508867,5.044704655672018e-05,3.184579852173367e-05,0.0003191435295729472,3.7884317740441235e-06,1.6375890384054597e-06,0.0019396276891960962,7.72456218140526e-05,1.8488688089210084e-05,0.00024667873823536397,2.3250857595707837e-05,0.0011586878457402628,6.362917082686732e-05,0.001206081134891046,9.225822474949812e-05,0.00021215839912181323,0.00021206080433303334,1.8754416741422804e-05,7.385716545566934e-05
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-08 - 008 - 135 bpm - steady marching.wav,0.0003509541840547572,0.0002444463840956576,0.0001665922900967398,1.5056669897869135e-05,1.5028491552794556e-05,1.8422135206075742e-06,8.011177493139918e-05,0.0,3.355265636818772e-05,0.0006395834423460129,4.9531712670445265e-05,0.0005285629773516115,6.046221422772205e-06,0.000236820182285002,8.402277771130295e-08,0.00020357018966779815,1.752093036066573e-05,0.0009921198002532155,0.0003075210522051211,0.0005802722460987981,2.6113316997388858e-05,0.0002523923084703368,5.713864530420827e-07,2.6040679605538032e-05,0.002469276190616327,4.078505422645663e-06,1.7800739553087687e-05,2.4448597219761275e-05,4.6833194751045454e-05,2.858818794193882e-05,1.8708241252090781e-06,0.00042068440774045804,0.00017270528603982892,0.0006331230697490464,0.0013516747732814152,0.0002562792543256454,7.153421280721393e-07,5.409152459610475e-06,4.4163933489503995e-05,4.620062675001364e-06,3.887461705189204e-06,0.0013401068663694525,8.336767785039623e-06,1.6172428617500728e-05,0.0008129471948712107
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-09 - 009 - 102 bpm - funk-ish.wav,8.587823089980537e-08,5.6269193066746366e-05,0.00017563991986577337,3.8702893553595854e-06,6.911327417451802e-05,0.000955435624176449,0.0016784076410904585,3.355265636818772e-05,0.0,0.00036654050325557187,0.0016510626894732548,6.142936083952063e-06,2.229547965437167e-05,7.056533853562201e-06,1.3686020421152366e-05,0.0005658322495534772,1.8242882582283864e-06,2.260723509244214e-06,0.002424096213920966,0.00037525101674669713,7.56046849643787e-07,0.00010413983302576718,0.00024667695740229523,1.0744304305437566e-05,1.1029886680923517e-05,1.0883588375499383e-05,0.0006500212498748992,9.67777911564055e-07,6.523945389427037e-06,4.526884610735905e-06,1.5752628140777142e-05,3.2425702533292532e-06,6.247091654804325e-05,1.7571348509679688e-05,2.9978308015157496e-06,0.0008415923423291792,1.630541243391507e-05,1.2964303340972986e-06,5.624144691546389e-07,8.841185038653839e-06,1.4543073756343689e-05,1.2917770691568135e-06,4.206828049467271e-06,1.0612634790813411e-05,0.000805847098863574
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-10 - 010 - 141 bpm - breakbeat.wav,0.0003901778445288983,0.0003929537836386124,0.00012384784436357237,0.000361040207482747,0.00036055311024747744,0.00038159835583602436,4.0090089964452735e-05,0.0006395834423460129,0.00036654050325557187,0.0,1.607945964769426e-05,0.00035213471842625,0.0005577214732149894,0.00045518428569096353,0.0008400949648843814,0.00015089769387780581,0.00017598883172815496,0.00012701166911997604,0.0002825570176719455,3.0270226363673736e-05,0.00030677616544113164,1.1694816681619121e-05,0.00022564808308735612,0.00013154702070013158,0.0004152606453042887,0.00037528781689300623,5.123827244857827e-05,0.000774073931831441,4.040639887122463e-05,0.0003400037873475568,0.00031138780604417557,0.00012786297070355455,3.598601841630895e-05,8.627023592538387e-05,2.555483556936078e-05,0.0002760369453613566,2.7659431806490186e-05,0.00010878448755326693,0.00018170581381641706,0.0006018322943135033,5.944629685928761e-05,1.6607893219551653e-05,0.00029656934448614864,0.0002966295497221056,3.446022946023082e-05
